DISTRICT NAME,NUMBER OF UNITS,TOTAL EMPLOYMENT
BAGALKOT,21760,388562
BALLARI,25708,284651
BELAGAVI,69570,485777
BENGALURU (RURAL),51678,594230
BENGALURU (URBAN),277499,2812765
BIDAR,17584,303387
CHAMARAJNAGAR,9053,63821
CHIKBALLAPUR,14758,109772
CHIKKAMAGALURU,14774,112091
CHITRADURGA,14988,201176
DAKSHIN KANNAD,41997,292608
DAVANGERE,21450,144826
DHARWAD,41541,331988
GADAG,12277,76760
HASSAN,23567,254771
HAVERI,17414,135116
KALABURAGI,20485,182046
KODAGU,7867,48208
KOLAR,16411,259589
KOPPAL,12159,129279
MANDYA,19784,144994
MYSURU,50663,480104
RAICHUR,17814,193728
RAMANAGARA,14340,113114
SHIVAMOGGA,27477,179225
TUMAKURU,32842,331384
UDUPI,24646,131483
UTTAR KANNAD,22915,103460
VIJAYANAGAR,4244,26553
VIJAYAPURA,24882,239905
YADGIR,10760,102316
Total,982907,9257689
